2011-12-11 13:49:30 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:00:07 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:00:31 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:01:46 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:04:56 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:10:36 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:11:55 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:14:20 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:14:54 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:15:30 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:16:14 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:16:41 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:22:50 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:23:18 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:23:49 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:24:33 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:26:38 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:29:37 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:31:39 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:32:10 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:36:49 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:37:04 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:37:09 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:37:12 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:37:13 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:38:01 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:38:04 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:51:03 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:54:50 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:54:51 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:54:57 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:54:59 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:55:00 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:55:35 Notice: Notice (8): Undefined property: UsersController::$Users in [/var/www/crdb/app/controllers/users_controller.php, line 103]
2011-12-11 14:55:48 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:55:51 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:56:12 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/users.ctp, line 19]
2011-12-11 14:59:56 Notice: Notice (8): Undefined index: authority in [/var/www/crdb/app/controllers/users_controller.php, line 107]
2011-12-11 15:06:44 Notice: Notice (8): Undefined variable: content_header in [/var/www/crdb/app/views/layouts/control.ctp, line 12]
2011-12-11 15:06:44 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/control.ctp, line 19]
2011-12-11 15:08:22 Notice: Notice (8): Undefined variable: show_logout in [/var/www/crdb/app/views/layouts/control.ctp, line 19]
2011-12-11 16:47:39 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 42]
2011-12-11 16:47:39 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 45]
2011-12-11 16:47:39 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:47:39 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 55]
2011-12-11 16:48:13 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 42]
2011-12-11 16:48:13 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 45]
2011-12-11 16:48:13 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:48:13 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 55]
2011-12-11 16:48:15 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 42]
2011-12-11 16:48:15 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 45]
2011-12-11 16:48:15 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:48:15 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 55]
2011-12-11 16:48:16 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 42]
2011-12-11 16:48:16 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 45]
2011-12-11 16:48:16 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:48:16 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 55]
2011-12-11 16:48:17 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 42]
2011-12-11 16:48:17 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 45]
2011-12-11 16:48:17 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:48:17 Notice: Notice (8): Undefined variable: show_footer in [/var/www/crdb/app/views/layouts/control.ctp, line 55]
2011-12-11 16:51:19 Notice: Notice (8): Use of undefined constant is_admin - assumed 'is_admin' in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:52:18 Notice: Notice (8): Use of undefined constant is_admin - assumed 'is_admin' in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:52:19 Notice: Notice (8): Use of undefined constant is_admin - assumed 'is_admin' in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:52:20 Notice: Notice (8): Use of undefined constant is_admin - assumed 'is_admin' in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:52:24 Notice: Notice (8): Use of undefined constant is_admin - assumed 'is_admin' in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:52:25 Notice: Notice (8): Use of undefined constant is_admin - assumed 'is_admin' in [/var/www/crdb/app/views/layouts/control.ctp, line 49]
2011-12-11 16:58:10 Notice: Notice (8): Undefined variable: is_admin in [/var/www/crdb/app/views/layouts/users.ctp, line 49]
2011-12-11 16:58:10 Notice: Notice (8): Undefined variable: is_admin in [/var/www/crdb/app/views/layouts/users.ctp, line 55]
2011-12-11 17:17:59 Notice: Notice (8): Undefined variable: query in [/var/www/crdb/app/views/controls/delete.ctp, line 4]
2011-12-11 17:18:44 Notice: Notice (8): Undefined variable: query in [/var/www/crdb/app/views/controls/delete.ctp, line 4]
2011-12-11 17:20:53 Notice: Notice (8): Undefined variable: query in [/var/www/crdb/app/views/controls/update.ctp, line 4]
2011-12-11 17:57:48 Notice: Notice (8): Undefined property: ControlsController::$IrohaData in [/var/www/crdb/app/controllers/controls_controller.php, line 47]
2011-12-11 17:59:26 Notice: Notice (8): Undefined variable: midashigo in [/var/www/crdb/app/controllers/controls_controller.php, line 44]
2011-12-11 17:59:26 Notice: Notice (8): Undefined variable: itaiji1 in [/var/www/crdb/app/controllers/controls_controller.php, line 45]
2011-12-11 17:59:26 Notice: Notice (8): Undefined variable: itaiji2 in [/var/www/crdb/app/controllers/controls_controller.php, line 46]
2011-12-11 17:59:26 Notice: Notice (8): Undefined property: ControlsController::$IrohaData in [/var/www/crdb/app/controllers/controls_controller.php, line 47]
2011-12-11 18:00:18 Notice: Notice (8): Undefined property: ControlsController::$IrohaData in [/var/www/crdb/app/controllers/controls_controller.php, line 46]
2011-12-11 18:02:33 Notice: Notice (8): Undefined property: ControlsController::$IrohaData in [/var/www/crdb/app/controllers/controls_controller.php, line 43]
2011-12-11 18:41:06 Notice: Notice (8): Undefined variable: resukts in [/var/www/crdb/app/controllers/controls_controller.php, line 54]
2011-12-11 18:52:16 Notice: Notice (8): Undefined variable: result in [/var/www/crdb/app/controllers/controls_controller.php, line 54]
2011-12-11 18:52:26 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/controllers/controls_controller.php, line 54]
2011-12-11 18:52:27 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/controllers/controls_controller.php, line 54]
2011-12-11 19:12:15 Notice: Notice (8): Use of undefined constant onnkunnbetsu_tsuu_no - assumed 'onnkunnbetsu_tsuu_no' in [/var/www/crdb/app/controllers/controls_controller.php, line 76]
